Timestamp,Course Code,Feedback,Sentiment,Previous Experience,Gender,Attendance,Course Difficulty ,Study Hours (per week),Overall Satisfaction,Department
2024/03/10 10:13:18 PM GMT+5:30,ECE 1003,Course is kk.but teaching is bad,Negative,No,Female,Regular,Moderate,2,5,Yes
2024/03/10 10:24:15 PM GMT+5:30,CSE 1005,teaching is good,Positive,No,Female,Regular,Easy,11,9,Yes
2024/03/10 10:44:52 PM GMT+5:30,CSE 1005,It's good ,Positive,No,Female,Regular,Challenging,7,8,Yes
2024/03/11 1:29:44 PM GMT+5:30,CSE 1005,The lecturers are knowledgeable and library facilities are very good.,Positive,Yes,Female,Irregular,Moderate,15,8,Yes
2024/03/11 4:06:44 PM GMT+5:30,MAT 1002,Teaching is almost good .,Neutral,Yes,Female,Occasional,Moderate,6,8,No
2024/03/11 5:48:09 PM GMT+5:30,MAT 1002,From my childhood i like math and now I am enjoying it . But our lecturers can't teach us in that level ,Positive,Yes,Male,Regular,Moderate,21,7,No
2024/03/11 9:51:52 PM GMT+5:30,ENG 1006,"The lecturer barely puts any effort into her teaching or her materials. The class is not interactive or interesting. Also, she doesn't upload the materials on time. ",Negative,Yes,Female,Regular,Moderate,1,2,Yes
2024/03/11 10:58:25 PM GMT+5:30,ECE 1003,Nice ,Positive,Yes,Female,Regular,Moderate,13,10,No
2024/03/12 9:47:22 AM GMT+5:30,ECE 1003,Good,Positive,Yes,Male,Regular,Moderate,6,6,No
2024/03/12 10:46:31 AM GMT+5:30,ENG 1006,Good,Positive,Yes,Female,Occasional,Moderate,10,7,No
2024/03/12 11:00:50 AM GMT+5:30,CSE 1005,Good,Positive,Yes,Male,Regular,Moderate,12,7,Yes
2024/03/12 11:02:47 AM GMT+5:30,ENG 1006,Good,Positive,No,Male,Regular,Challenging,8,6,No
2024/03/14 12:53:11 AM GMT+5:30,CSE 1005,Course objective was fine but method of teaching should be improved by providing better examples,Neutral,No,Female,Regular,Easy,2,9,Yes
2024/03/14 7:36:56 PM GMT+5:30,CSE 1005,Bad,Negative,No,Female,Regular,Moderate,6,3,Yes
2024/03/14 7:41:46 PM GMT+5:30,ECE 1003,All good,Neutral,No,Female,Occasional,Challenging,6,7,No
2024/03/16 10:19:44 PM GMT+5:30,ECE 1003,"Theory lecturer is good , we are able to understand topics well . But lab is not at all good .Our sir doesn't explain anything in the code ,all we do is cut copy paste the code ",Negative,No,Female,Regular,Moderate,1,3,Yes
2024/03/16 10:22:21 PM GMT+5:30,ECE 1003,Our theory and lab lectures do teach well,Positive,No,Female,Regular,Moderate,2,8,Yes
2024/03/16 10:36:32 PM GMT+5:30,ENG 1006,It was good.,Positive,Yes,Female,Regular,Moderate,22,9,No
2024/03/18 2:01:29 PM GMT+5:30,MAT 1002,"The course is quite hard, constant practice is required. Our lecturer and his way of teaching are pretty good. Although he is a little fast he makes us solve many questions. The required books are also available in the library.",Positive,Yes,Male,Regular,Challenging,14,9,Yes
2024/03/18 3:44:20 PM GMT+5:30,CSE 1005,Kinda frustrating ,Neutral,No,Female,Irregular,Moderate,3,3,Yes
2024/03/18 3:54:59 PM GMT+5:30,CSE 1005,"In the educational infrastructure,the teaching faculty should more concentrated to the fact of application of knowledge in real time manner. Students should be encouraged to more hands on project and internships.",Neutral,Yes,Female,Regular,Difficult,20,7,Yes
2024/03/18 8:45:22 PM GMT+5:30,MAT 1002,Sir gives equal attention to both concepts and problem solving techniques which makes reduces the complexity of the course..... ,Neutral,No,Female,Regular,Moderate,6,7,No
2024/03/19 10:09:45 PM GMT+5:30,MAT 1002,Too diverse and extensive.,Neutral,No,Male,Occasional,Difficult,4,5,Yes
2024/03/20 8:31:18 PM GMT+5:30,MAT 1002,Personally he the teacher doesn't teaches well(In my opinion),Negative,Yes,Male,Regular,Challenging,2,7,Yes
